id,daneshkade_adabiat_va_oloum_ensani
name_persian,دانشکده ادبیات و علوم انسانی
website,http://web.shirazu.ac.ir/index.php?page_id=163&menu_id=1&menu_item_id=40
head,شاهرخ محمدبیگی
head_phone_number,36269222
head_fax_number,36269225
head_email,shbeygi@rose.shirazu.ac.ir
education_expert,فرخ حاجیانی
education_expert_phone_number,36269223
education_expert_fax_number,36269225
education_expert_email,hajiyani@rose.shirazu.ac.ir
research_expert,رحمان صحراگرد
research_expert_phone_number,36467202
research_expert_fax_number,36269225
research_expert_email,rsahragard@rose.shirazu.ac.ir
culture_expert,سعیدرضا اکبریان رونیزی
culture_expert_phone_number,36288722
culture_expert_fax_number,36269225
culture_expert_email,akbarian@shirazu.ac.ir
latitude,29.6452018
longtitude,52.5184035
address,شيراز – مجتمع دانشگاهي پرديس ارم – دانشکده ادبيات و علوم انسانی
