id,daneshkade_elahiat
name_persian,دانشکده الهیات و معارف اسلامی
website,http://web.shirazu.ac.ir/index.php?page_id=4946&menu_id=1&menu_item_id=191
head,قاسم کاکایی
head_phone_number,36281000
head_fax_number,36281000
head_email,gkakaie@rose.shirazu.ac.ir
education_expert,علي محمد ساجدي
education_expert_phone_number,36460471
education_expert_fax_number,36460471
education_expert_email,msajedi@rose.shiraz.ac.ir
research_expert,نعمت اله بدخشان
research_expert_phone_number,36460750
research_expert_fax_number,36460750
research_expert_email,nbadakhshan@rose.shirazu.ac.ir
culture_expert,نعمت‌اله بدخشان
culture_expert_phone_number,36460750
culture_expert_fax_number,36460750
culture_expert_email,nbadakhshan@rose.shirazu.ac.ir
latitude,29.6452018
longtitude,52.5184035
address,شيراز ميدان ارم- پرديس ارم- دانشكده الهيات و معارف اسلامي
email,elahiat@rose.shirazu.ac.ir
