id,daneshkade_olom
name_persian,دانشکده علوم
website,http://web.shirazu.ac.ir/index.php?page_id=157&menu_id=1&menu_item_id=45
head,محمود مرادی
head_phone_number,32282380
head_fax_number,32280926
education_expert,علیرضا نعمت اللهی
education_expert_phone_number,32282747
education_expert_fax_number,32280926
education_expert_email,Nematollahi@susc.ac.ir
research_expert,حمید نادگران
research_expert_phone_number,2286009
research_expert_fax_number,2280926
research_expert_email,nadgaran@susc.ac.ir
financial_expert,حمید رضا کربلائی حیدری   
financial_expert_phone_number,2277192
financial_expert_fax_number,2280926
financial_expert_email,karbalaei@shirazu.ac.ir 
latitude,29.6448948
longtitude,52.5163662
address, شيراز – چهار راه ادبيات – دانشکده علوم
