id,daneshkade_mohandesi_eeces
name_persian,دانشکده مهندسي برق و کامپیوتر
website,http://web.shirazu.ac.ir/index.php?page_id=3650&menu_id=1&menu_item_id=134
head,علرضا خیاطیان
head_phone_number,32303081
head_email,khayatia@shirazu.ac.ir
education_expert,علیرضا سیفی
education_expert_phone_number,36133077
education_expert_email,seifi@shirazu.ac.ir
research_expert,ابراهیم فرجاه
research_expert_phone_number,36133142
research_expert_email,farjah@shirazu.ac.ir
student_expert,رضا ثامنی
student_expert_phone_number,36133169
student_expert_email,reza.sameni@gmail.com
latitude,29.6309757
longtitude,52.5224689
address, شيراز – خيابان زند - دانشكده مهندسي
