id,daneshkade_mohandesi_shimi_naft_gas
name_persian, دانشکده مهندسی شیمی، نفت و گاز
website,http://web.shirazu.ac.ir/index.php?page_id=3651&menu_id=1&menu_item_id=135
head,غلامرضا کریمی
head_phone_number,36473170
head_email,gkarimi@shirazu.ac.ir
education_expert,دكتر محمد خرم
education_expert_phone_number,36473747
education_expert_email,mkhorram@shirazu.ac.ir
research_expert,دكتر داریوش مولا
research_expert_phone_number,36473793
research_expert_email,dmowla@shirazu.ac.ir
student_expert,دكتر رفعت پارسایی
student_expert_phone_number,36473205
student_expert_email,rparsaei@shirazu.ac.ir
latitude,29.628989
longtitude,52.517607
address, نشاني : شيراز – خيابان ملاصدرا - دانشكده مهندسي شيمي، نفت و گاز
