id,daneshkade_mohandesi
name_persian,دانشکده مهندسی
website,http://web.shirazu.ac.ir/?page_id=144&menu_id=1&menu_item_id=137
head,دکتر محمدحسين پايدار
head_phone_number,2337852
head_email,paaydar@shirazu.ac.ir
education_expert,دکتر رامین ابراهیمی
education_expert_phone_number,6473566
education_expert_fax_number,6473566
education_expert_email,ebrahimy@shirazu.ac.ir 
research_expert,دکتر ایوب کریمی جشنی
research_expert_phone_number,6287292
research_expert_fax_number,6287292
research_expert_email,ebrahimy@shirazu.ac.ir 
student_expert,دکتر مهدی جاویدی
student_expert_phone_number,6473566
student_expert_fax_number,6473566
latitude,29.630844
longtitude,52.521932
address, شيراز – خيابان زند - دانشكده مهندسي
